#name,x,y,alt,heading,pitch,roll,f,px,py,k1,k2,k3,k4,t1,t2
frame_0000.jpg,13.101845154611118,19.803638256767144,20.808037127450497,-67.40795154923133,30.555062543775794,39.574455865933686,30,0,0,0,0,0,0,0,0
frame_0001.jpg,13.093043588390604,19.742588324813855,20.833397275256075,-67.54649393027556,30.89213101104403,39.08504305710924,30,0,0,0,0,0,0,0,0
frame_0002.jpg,13.224067152587708,19.650845087422777,20.974152523910433,-67.61250619209152,31.60324552317358,38.46879857602862,30,0,0,0,0,0,0,0,0
frame_0003.jpg,13.272759826634445,19.469595890526037,21.166047510937723,-67.74199052740583,32.38447375112827,37.783329830633896,30,0,0,0,0,0,0,0,0
frame_0004.jpg,12.805548171285347,19.47940226664194,21.452680720862567,-67.92524540583271,32.747620935251625,37.26100743527515,30,0,0,0,0,0,0,0,0
frame_0005.jpg,11.797686808926247,19.316409601641116,21.43003461232267,-68.32136173465102,32.175788177208545,36.96064509071623,30,0,0,0,0,0,0,0,0
frame_0006.jpg,10.700512685094756,19.005685606172857,21.288509657567396,-68.8460407534524,31.098431863719696,36.692652843666906,30,0,0,0,0,0,0,0,0
frame_0007.jpg,9.864176106357984,18.96971441300493,21.300706829205886,-69.34692209665026,29.995098623005177,36.51305594189518,30,0,0,0,0,0,0,0,0
frame_0008.jpg,9.268298224542708,18.89879245989532,21.50311060005854,-69.79596103467907,29.33367661818565,36.22634722245018,30,0,0,0,0,0,0,0,0
frame_0009.jpg,8.887178349999003,18.833030854259096,21.321895666262463,-70.16791357136488,29.351254406402585,35.68533754582265,30,0,0,0,0,0,0,0,0
frame_0010.jpg,8.217765262336155,18.796001313168286,20.205624686795666,-70.85553653005609,29.150564381282724,35.00830530154092,30,0,0,0,0,0,0,0,0
frame_0011.jpg,7.566458092372017,18.60053021192296,19.35095057787511,-71.67695841080011,29.338239807979058,34.23360958738828,30,0,0,0,0,0,0,0,0
frame_0012.jpg,6.37963697268146,18.46878678927199,19.015181837167596,-73.75649210828165,26.074633329722882,34.0518810477536,30,0,0,0,0,0,0,0,0
frame_0013.jpg,4.74984418167279,18.388246939234985,19.0972904088501,-77.59513603835252,19.12501885613619,34.623248519352416,30,0,0,0,0,0,0,0,0
frame_0014.jpg,3.4595537192003225,18.168456843640758,18.774923398742935,-80.77238449446952,13.682692320935132,35.284368677897774,30,0,0,0,0,0,0,0,0
frame_0015.jpg,2.3778285446147067,18.189335800582416,17.596619207757833,-83.54752138991815,9.853173852368718,35.75258717206837,30,0,0,0,0,0,0,0,0
frame_0016.jpg,1.3632323728922735,18.103124898721855,16.892273284467024,-88.3884522677307,2.9664335099236765,37.25957837361157,30,0,0,0,0,0,0,0,0
frame_0017.jpg,-0.7629428345361164,18.173951720467606,16.790604059021923,-98.13346643666999,-11.103956609539301,41.08165985915793,30,0,0,0,0,0,0,0,0
frame_0018.jpg,-2.245630094974281,18.258904098002432,16.67678020436543,-110.18339748862421,-25.35075267617481,45.085842697219185,30,0,0,0,0,0,0,0,0
frame_0019.jpg,-3.1125555653330657,18.193998036436202,15.373156400034384,-124.90465160650719,-40.30639273020682,47.162104486513584,30,0,0,0,0,0,0,0,0
frame_0020.jpg,-2.9599310534170966,17.918408025990935,14.15675047879414,-143.47955990863247,-58.92605020082343,46.313444154532895,30,0,0,0,0,0,0,0,0
frame_0021.jpg,-4.069561585765563,17.673267260396162,13.442627511555946,-164.05091031412928,-75.79982877356947,42.34415387960877,30,0,0,0,0,0,0,0,0
frame_0022.jpg,-5.948599677859761,17.5914814554888,12.877108087125242,-179.8515224023254,-86.27625292796462,37.50943761690013,30,0,0,0,0,0,0,0,0
frame_0023.jpg,-6.486315953163446,18.21741253948204,12.385106882571316,172.1542051144933,-89.88298984915089,36.32338019061468,30,0,0,0,0,0,0,0,0
frame_0024.jpg,-6.543494308331876,18.81862190701639,12.078936064485346,168.22819276331896,-91.73623526178795,37.14432107663233,30,0,0,0,0,0,0,0,0
frame_0025.jpg,-6.5186027719119455,19.20208158159401,12.114924653247778,167.40629965152644,-91.92073677182766,38.689329077214595,30,0,0,0,0,0,0,0,0
frame_0026.jpg,-4.8767516776511535,19.420686318491832,12.988430052566299,167.7331332995502,-91.57804544415131,39.53587521963151,30,0,0,0,0,0,0,0,0
frame_0027.jpg,-2.592306037628201,19.21027453163111,14.663751923241312,168.3041750744655,-91.26290179127781,38.930965543140594,30,0,0,0,0,0,0,0,0
frame_0036.jpg,13.023477045026532,19.268817067403923,15.923006701121333,-71.30091436163133,32.06225487516878,33.09741096733516,30,0,0,0,0,0,0,0,0
frame_0038.jpg,15.870384930511182,19.398105022839594,12.730193874322593,-57.925494187777424,48.180643468553065,35.501169258473205,30,0,0,0,0,0,0,0,0
frame_0039.jpg,18.23387155265575,19.820249914953777,12.454045852456426,-51.521100061119895,54.85414537982076,34.45944865427967,30,0,0,0,0,0,0,0,0
frame_0040.jpg,19.314369305514138,19.928209826058133,11.244675847137772,-43.7792220698475,64.14717657610268,33.14324269559914,30,0,0,0,0,0,0,0,0
frame_0041.jpg,20.442831168203995,20.128298820241223,8.388337735357725,-33.50614850677356,74.14345175733449,30.764594816208806,30,0,0,0,0,0,0,0,0
frame_0042.jpg,21.99527649040648,20.223774610259433,5.997614448926269,-22.754613004144947,82.48001149936822,26.08410959623434,30,0,0,0,0,0,0,0,0
frame_0043.jpg,23.600081546747067,19.702557001629756,3.5648196836959,-11.229378430977624,89.11000171417524,17.491661249617305,30,0,0,0,0,0,0,0,0
frame_0044.jpg,22.791095348292078,18.779944973412494,1.5536853237799502,1.0105252640147848,91.09269357932614,8.227411356078935,30,0,0,0,0,0,0,0,0
frame_0045.jpg,21.505769130998978,18.282625225997,-0.4457065349669236,15.004587073702034,88.98800242721956,-1.1899566696040307,30,0,0,0,0,0,0,0,0
frame_0046.jpg,21.008043040679716,18.554675794346267,-2.925707263180434,40.05120371431402,80.67447405917929,-10.45809129003779,30,0,0,0,0,0,0,0,0
frame_0081.jpg,10.49640754665682,16.69459632697098,13.983739549881294,-50.131142147476076,52.98141436269262,40.6417158033766,30,0,0,0,0,0,0,0,0
frame_0082.jpg,11.769858374009617,16.843759890106195,16.992743421953037,-53.77404533213292,46.60949994582098,45.633935385946394,30,0,0,0,0,0,0,0,0
frame_0084.jpg,9.243884462935306,16.645874991292846,20.059662488012464,-72.42554796206332,24.64919586868295,49.14558592802664,30,0,0,0,0,0,0,0,0
frame_0085.jpg,7.000971089485349,16.61925245281939,19.185148433791213,-81.68187634784621,14.2132265995013,50.8943240553253,30,0,0,0,0,0,0,0,0
frame_0086.jpg,4.724913203463606,16.087767364721195,18.104481303215223,-89.37418409418963,1.6843566551691,53.38004781864242,30,0,0,0,0,0,0,0,0
frame_0087.jpg,2.319928135039056,13.842286069668486,18.182475196811012,-92.55534381961097,-3.9192425956344112,57.36929331236783,30,0,0,0,0,0,0,0,0
frame_0091.jpg,0.4897278818646753,12.94906470779852,16.10957778368791,-85.4628880421272,3.9257873341510163,66.38582131192247,30,0,0,0,0,0,0,0,0
frame_0092.jpg,-0.08901679493189363,16.913760906746727,16.432146549874695,-89.73209025542351,-0.5260654728280855,65.82551372448967,30,0,0,0,0,0,0,0,0
frame_0093.jpg,-0.9427930977398364,17.208183418483422,15.45005696315967,-107.674639866815,-19.150826809976653,66.08807484261528,30,0,0,0,0,0,0,0,0
frame_0094.jpg,-2.0540607022964723,17.256292294929573,13.510428966263335,-143.0571319129825,-54.52947316503278,63.317969124631425,30,0,0,0,0,0,0,0,0
frame_0095.jpg,-3.8062657173947256,17.249347244999502,12.767737926611135,174.3173671405352,-92.93289362734768,48.92622368925026,30,0,0,0,0,0,0,0,0
frame_0096.jpg,-5.038241064302266,17.44091693363064,12.25469637577793,167.7622170863244,-97.59975643735817,44.85229546780751,30,0,0,0,0,0,0,0,0
